date,location,name,organization,type of death,url
"May 24, 2014","Andreyevka, Ukraine",Andrea Rocchelli,Cesura photo agency,Crossfire,https://cpj.org/data/people/andrea-rocchelli/index.php
"September 27, 1993","Sukhumi, Georgia",Andrei Soloviev,ITAR-TASS,Crossfire,https://cpj.org/data/people/andrei-soloviev/index.php
"August 6, 2014","Snizhne, Ukraine",Andrei Stenin,Rossiya Segodnya,Crossfire,https://cpj.org/data/people/andrei-stenin/index.php
"November 23, 2009","Ampatuan, Philippines",Andres Teodoro,Central Mindanao Inquirer,Murder,https://cpj.org/data/people/andres-teodoro/index.php
"April 21, 2018","Bluefields, Nicaragua",Ángel Eduardo Gahona,El Meridiano,Dangerous Assignment,https://cpj.org/data/people/angel-eduardo-gahona/index.php
"March 24, 2009","Rajgarh, Assam, India",Anil Mazumdar,Aji,Murder,https://cpj.org/data/people/anil-mazumdar/index.php
"April 4, 2014","Khost, Afghanistan",Anja Niedringhaus,The Associated Press,Dangerous Assignment,https://cpj.org/data/people/anja-niedringhaus/index.php
"October 7, 2006","Moscow, Russia",Anna Politkovskaya,Novaya Gazeta,Murder,https://cpj.org/data/people/anna-politkovskaya/index.php
"July 12, 1993","Mogadishu, Somalia",Anthony Macharia,Reuters,Murder,https://cpj.org/data/people/anthony-macharia/index.php
"November 7, 2004","Duékoué , Ivory Coast",Antoine Massé,Le Courrier d'Abidjan,Dangerous Assignment,https://cpj.org/data/people/antoine-masse/index.php
"April 5, 2011","an area near Brega, Libya",Anton Hammerl,Freelance,Crossfire,https://cpj.org/data/people/anton-hammerl/index.php
"October 30, 1996","Cabinda, Angola",Antonio Casemero,Televisao Popular de Angola,Murder,https://cpj.org/data/people/antonio-casemero/index.php
"February 14, 2004","Yungay, Peru",Antonio de la Torre Echeandía,Radio Órbita,Murder,https://cpj.org/data/people/antonio-de-la-torre-echeandia/index.php
"December 18, 1999","Colombo, Sri Lanka",Anura Priyantha,Independent Television Network,Dangerous Assignment,https://cpj.org/data/people/anura-priyantha/index.php
